Carrier,Month,Year,Full-time,Part-time,Grand Total
WN,1,2023,66965,1523,68488
WN,2,2023,68154,1468,69622
WN,3,2023,69137,1462,70599
WN,4,2023,69770,1526,71296
WN,5,2023,70132,1455,71587
WN,6,2023,70590,1417,72007
WN,7,2023,71846,1349,73195
AA,1,2023,92038,12507,104545
AA,2,2023,92443,12424,104867
AA,3,2023,93199,12553,105752
AA,4,2023,94248,12606,106854
AA,5,2023,95103,12709,107812
AA,6,2023,95655,12658,108313
AA,7,2023,95458,12509,107967
DL,1,2023,94236,439,94675
DL,2,2023,95551,462,96013
DL,3,2023,96510,457,96967
DL,4,2023,97513,446,97959
DL,5,2023,98455,458,98913
DL,6,2023,99404,474,99878
DL,7,2023,99944,479,100423
UA,1,2023,76648,16453,93101
UA,2,2023,77580,16603,94183
UA,3,2023,78778,16694,95472
UA,4,2023,79783,16760,96543
UA,5,2023,80936,16801,97737
UA,6,2023,82153,16678,98831
UA,7,2023,83198,16560,99758
OO,1,2023,11730,1668,13398
OO,2,2023,11665,1708,13373
OO,3,2023,11399,1710,13109
OO,4,2023,11392,1746,13138
OO,5,2023,11481,1786,13267
OO,6,2023,11577,1778,13355
OO,7,2023,11563,1841,13404
B6,1,2023,18674,4282,22956
B6,2,2023,18938,4248,23186
B6,3,2023,19177,4197,23374
B6,4,2023,19322,4211,23533
B6,5,2023,19454,4143,23597
B6,6,2023,19272,4331,23603
B6,7,2023,19334,4180,23514
NK,1,2023,11865,311,12176
NK,2,2023,11988,310,12298
NK,3,2023,12211,344,12555
NK,4,2023,12273,325,12598
NK,5,2023,12376,320,12696
NK,6,2023,12507,322,12829
NK,7,2023,12622,333,12955
YX,1,2023,5719,231,5950
YX,2,2023,5667,232,5899
YX,3,2023,5623,222,5845
YX,4,2023,5495,218,5713
YX,5,2023,5470,207,5677
YX,6,2023,5443,215,5658
YX,7,2023,5391,207,5598
AS,1,2023,17645,1870,19515
AS,2,2023,17745,1889,19634
AS,3,2023,17829,1895,19724
AS,4,2023,18021,1915,19936
AS,5,2023,18074,1913,19987
AS,6,2023,18200,1948,20148
AS,7,2023,18298,1931,20229
MQ,1,2023,11682,5238,16920
MQ,2,2023,11738,5289,17027
MQ,3,2023,11884,5373,17257
MQ,4,2023,11949,5407,17356
MQ,5,2023,12074,5498,17572
MQ,6,2023,12151,5556,17707
MQ,7,2023,12219,5634,17853
F9,1,2023,6455,41,6496
F9,2,2023,6503,43,6546
F9,3,2023,6566,42,6608
F9,4,2023,6529,43,6572
F9,5,2023,6610,41,6651
F9,6,2023,6669,46,6715
F9,7,2023,6790,39,6829
OH,1,2023,4167,0,4167
OH,2,2023,4095,0,4095
OH,3,2023,4057,0,4057
OH,4,2023,3997,0,3997
OH,5,2023,3946,0,3946
OH,6,2023,3900,0,3900
OH,7,2023,3993,0,3993
9E,1,2023,4686,77,4763
9E,2,2023,4725,72,4797
9E,3,2023,4696,69,4765
9E,4,2023,4649,68,4717
9E,5,2023,4571,76,4647
9E,6,2023,4504,74,4578
9E,7,2023,4426,90,4516
G4,1,2023,5000,670,5670
G4,2,2023,4994,672,5666
G4,3,2023,4974,672,5646
G4,4,2023,5007,696,5703
G4,5,2023,5088,731,5819
G4,6,2023,5060,751,5811
G4,7,2023,5099,735,5834
HA,1,2023,6273,909,7182
HA,2,2023,6317,903,7220
HA,3,2023,6332,886,7218
HA,4,2023,6369,866,7235
HA,5,2023,6389,878,7267
HA,6,2023,6448,861,7309
HA,7,2023,6479,866,7345
