Carrier,Month,Year,Full-time,Part-time,Grand Total
AS,1,2020,16086,1853,17939
AS,2,2020,16070,1841,17911
AS,3,2020,16062,1850,17912
AS,4,2020,15840,2010,17850
AS,5,2020,15751,2046,17797
AS,6,2020,15691,2050,17741
AS,7,2020,15631,2009,17640
AS,8,2020,15585,1998,17583
AS,9,2020,15471,2010,17481
AS,10,2020,14683,1964,16647
AS,11,2020,14748,1948,16696
AS,12,2020,14706,1937,16643
AS,1,2021,14861,1875,16736
AS,2,2021,14882,1852,16734
AS,3,2021,14851,1822,16673
AS,4,2021,14810,1821,16631
AS,5,2021,14939,1786,16725
AS,6,2021,14992,1778,16770
AS,7,2021,14993,1758,16751
AS,8,2021,15905,1761,17666
AS,9,2021,15074,1761,16835
AS,10,2021,15230,1737,16967
AS,11,2021,15287,1733,17020
AS,12,2021,15342,1712,17054
AS,1,2022,15500,1701,17201
AS,2,2022,15735,1686,17421
AS,3,2022,16027,1694,17721
AS,4,2022,16436,1715,18151
AS,5,2022,16819,1751,18570
AS,6,2022,17175,1737,18912
AS,7,2022,17549,1722,19271
AS,8,2022,19117,220,19337
AS,9,2022,17672,1763,19435
AS,10,2022,17804,1792,19596
AS,11,2022,17836,1802,19638
AS,12,2022,17717,1832,19549
AA,1,2020,95612,11840,107452
AA,2,2020,96021,11884,107905
AA,3,2020,97373,11735,109108
AA,4,2020,97083,11496,108579
AA,5,2020,96062,11284,107346
AA,6,2020,96061,11191,107252
AA,7,2020,95792,11236,107028
AA,8,2020,95312,11232,106544
AA,9,2020,95197,10973,106170
AA,10,2020,79281,11565,90846
AA,11,2020,78761,11613,90374
AA,12,2020,88418,12587,101005
AA,1,2021,87926,12483,100409
AA,2,2021,90255,11187,101442
AA,3,2021,90243,11060,101303
AA,4,2021,88211,10682,98893
AA,5,2021,86714,10951,97665
AA,6,2021,87718,11022,98740
AA,7,2021,88130,11023,99153
AA,8,2021,88345,10943,99288
AA,9,2021,86522,10968,97490
AA,10,2021,85979,11130,97109
AA,11,2021,86112,11414,97526
AA,12,2021,86324,11557,97881
AA,1,2022,87377,11823,99200
AA,2,2022,87999,12066,100065
AA,3,2022,89059,12453,101512
AA,4,2022,89379,12766,102145
AA,5,2022,90332,12814,103146
AA,6,2022,90598,12958,103556
AA,7,2022,90647,12944,103591
AA,8,2022,90399,12985,103384
AA,9,2022,90867,12861,103728
AA,10,2022,91114,12694,103808
AA,11,2022,91439,12625,104064
AA,12,2022,91293,12550,103843
G4,1,2020,3935,459,4394
G4,2,2020,4001,477,4478
G4,3,2020,4070,417,4487
G4,4,2020,4084,413,4497
G4,5,2020,4069,406,4475
G4,6,2020,4036,400,4436
G4,7,2020,4006,409,4415
G4,8,2020,3987,412,4399
G4,9,2020,3976,414,4390
G4,10,2020,3730,422,4152
G4,11,2020,3756,418,4174
G4,12,2020,3748,409,4157
G4,1,2021,3746,409,4155
G4,2,2021,3756,420,4176
G4,3,2021,3748,424,4172
G4,4,2021,3774,421,4195
G4,5,2021,3833,468,4301
G4,6,2021,3872,477,4349
G4,7,2021,3923,494,4417
G4,8,2021,3976,513,4489
G4,9,2021,3973,539,4512
G4,10,2021,4052,537,4589
G4,11,2021,4105,560,4665
G4,12,2021,4157,550,4707
G4,1,2022,4235,563,4798
G4,2,2022,4332,580,4912
G4,3,2022,4403,578,4981
G4,4,2022,4520,566,5086
G4,5,2022,4656,701,5357
G4,6,2022,4810,740,5550
G4,7,2022,4811,725,5536
G4,8,2022,4838,703,5541
G4,9,2022,4931,708,5639
G4,10,2022,4961,694,5655
G4,11,2022,5004,662,5666
G4,12,2022,4982,648,5630
DL,1,2020,80582,10245,90827
DL,2,2020,81177,10239,91416
DL,3,2020,80179,9801,89980
DL,4,2020,57498,4512,62010
DL,5,2020,47581,3403,50984
DL,6,2020,47877,3591,51468
DL,7,2020,56513,5563,62076
DL,8,2020,57630,5716,63346
DL,9,2020,55767,5743,61510
DL,10,2020,55384,5845,61229
DL,11,2020,56393,5885,62278
DL,12,2020,56827,5959,62786
DL,1,2021,56429,5758,62187
DL,2,2021,56933,5655,62588
DL,3,2021,58406,5821,64227
DL,4,2021,59348,6311,65659
DL,5,2021,61045,7288,68333
DL,6,2021,62248,9029,71277
DL,7,2021,68699,4805,73504
DL,8,2021,71804,3280,75084
DL,9,2021,74393,2787,77180
DL,10,2021,77410,2156,79566
DL,11,2021,78447,2380,80827
DL,12,2021,79299,2380,81679
DL,1,2022,80655,1965,82620
DL,2,2022,82439,1885,84324
DL,3,2022,83951,1823,85774
DL,4,2022,85359,1795,87154
DL,5,2022,86831,2364,89195
DL,6,2022,88649,3531,92180
DL,7,2022,89331,3568,92899
DL,8,2022,90039,2578,92617
DL,9,2022,91834,2094,93928
DL,10,2022,92459,1957,94416
DL,11,2022,93007,397,93404
DL,12,2022,92734,442,93176
MQ,1,2020,12494,4534,17028
MQ,2,2020,12550,4636,17186
MQ,3,2020,12389,4392,16781
MQ,4,2020,12383,4384,16767
MQ,5,2020,12409,4362,16771
MQ,6,2020,12344,4315,16659
MQ,7,2020,12193,4195,16388
MQ,8,2020,12031,4070,16101
MQ,9,2020,11966,3992,15958
MQ,10,2020,11197,3731,14928
MQ,11,2020,11098,3535,14633
MQ,12,2020,11599,3781,15380
MQ,1,2021,11521,3882,15403
MQ,2,2021,11525,3893,15418
MQ,3,2021,11439,3907,15346
MQ,4,2021,11385,4062,15447
MQ,5,2021,11200,4247,15447
MQ,6,2021,10929,4363,15292
MQ,7,2021,10822,4289,15111
MQ,8,2021,10850,4220,15070
MQ,9,2021,10915,4288,15203
MQ,10,2021,10907,4258,15165
MQ,11,2021,10932,4248,15180
MQ,12,2021,11005,4300,15305
MQ,1,2022,10996,4389,15385
MQ,2,2022,11030,4437,15467
MQ,3,2022,11161,4582,15743
MQ,4,2022,11204,4591,15795
MQ,5,2022,11262,4650,15912
MQ,6,2022,11291,4803,16094
MQ,7,2022,11347,4799,16146
MQ,8,2022,11577,4929,16506
MQ,9,2022,11609,4949,16558
MQ,10,2022,11628,5042,16670
MQ,11,2022,11628,5177,16805
MQ,12,2022,11740,5208,16948
F9,1,2020,4957,63,5020
F9,2,2020,5036,65,5101
F9,3,2020,5115,66,5181
F9,4,2020,5090,63,5153
F9,5,2020,5076,63,5139
F9,6,2020,5040,61,5101
F9,7,2020,5028,68,5096
F9,8,2020,5015,65,5080
F9,9,2020,4990,65,5055
F9,10,2020,4955,64,5019
F9,11,2020,4957,64,5021
F9,12,2020,4948,63,5011
F9,1,2021,4934,62,4996
F9,2,2021,4891,61,4952
F9,3,2021,4898,48,4946
F9,4,2021,4948,47,4995
F9,5,2021,4984,47,5031
F9,6,2021,5129,49,5178
F9,7,2021,5210,50,5260
F9,8,2021,5302,48,5350
F9,9,2021,5381,48,5429
F9,10,2021,5441,46,5487
F9,11,2021,5496,43,5539
F9,12,2021,5459,43,5502
F9,1,2022,5485,44,5529
F9,2,2022,5520,44,5564
F9,3,2022,5525,40,5565
F9,4,2022,5590,39,5629
F9,5,2022,5658,39,5697
F9,6,2022,5694,35,5729
F9,7,2022,5775,36,5811
F9,8,2022,5976,37,6013
F9,9,2022,6106,39,6145
F9,10,2022,6275,40,6315
F9,11,2022,6376,39,6415
F9,12,2022,6429,41,6470
HA,1,2020,6024,1423,7447
HA,2,2020,6067,1435,7502
HA,3,2020,6076,1416,7492
HA,4,2020,6065,1411,7476
HA,5,2020,6057,1387,7444
HA,6,2020,6039,1379,7418
HA,7,2020,6028,1376,7404
HA,8,2020,5923,1369,7292
HA,9,2020,5846,1241,7087
HA,10,2020,5231,1289,6520
HA,11,2020,4513,530,5043
HA,12,2020,4572,706,5278
HA,1,2021,4793,691,5484
HA,2,2021,5329,685,6014
HA,3,2021,5351,698,6049
HA,4,2021,4883,846,5729
HA,5,2021,5064,899,5963
HA,6,2021,5104,929,6033
HA,7,2021,5121,957,6078
HA,8,2021,5141,965,6106
HA,9,2021,5493,962,6455
HA,10,2021,5536,987,6523
HA,11,2021,5556,1012,6568
HA,12,2021,5585,1014,6599
HA,1,2022,5549,999,6548
HA,2,2022,5508,1007,6515
HA,3,2022,5569,1017,6586
HA,4,2022,5705,997,6702
HA,5,2022,5811,998,6809
HA,6,2022,5912,1016,6928
HA,7,2022,5990,1023,7013
HA,8,2022,6001,1034,7035
HA,9,2022,6108,1002,7110
HA,10,2022,6156,1002,7158
HA,11,2022,6195,880,7075
HA,12,2022,6235,872,7107
B6,1,2020,16738,4860,21598
B6,2,2020,16856,4865,21721
B6,3,2020,16745,4801,21546
B6,4,2020,16756,4778,21534
B6,5,2020,16470,5155,21625
B6,6,2020,16418,5138,21556
B6,7,2020,16389,5028,21417
B6,8,2020,16246,4661,20907
B6,9,2020,15735,3913,19648
B6,10,2020,15539,3709,19248
B6,11,2020,15464,3650,19114
B6,12,2020,15377,3605,18982
B6,1,2021,15377,3641,19018
B6,2,2021,15296,3670,18966
B6,3,2021,15267,3678,18945
B6,4,2021,15127,3724,18851
B6,5,2021,15135,3674,18809
B6,6,2021,15088,3905,18993
B6,7,2021,15135,4074,19209
B6,8,2021,15154,4174,19328
B6,9,2021,15490,4368,19858
B6,10,2021,15947,4427,20374
B6,11,2021,16109,4440,20549
B6,12,2021,16293,4387,20680
B6,1,2022,16674,4467,21141
B6,2,2022,17062,4401,21463
B6,3,2022,17604,4363,21967
B6,4,2022,17936,4331,22267
B6,5,2022,18288,4450,22738
B6,6,2022,18303,4539,22842
B6,7,2022,18409,4561,22970
B6,8,2022,18333,4545,22878
B6,9,2022,18558,4506,23064
B6,10,2022,18786,4486,23272
B6,11,2022,18797,4448,23245
B6,12,2022,18661,4319,22980
YX,1,2020,6103,340,6443
YX,2,2020,6164,331,6495
YX,3,2020,6195,324,6519
YX,4,2020,6018,328,6346
YX,5,2020,6003,316,6319
YX,6,2020,5955,314,6269
YX,7,2020,5801,311,6112
YX,8,2020,5757,306,6063
YX,9,2020,5708,299,6007
YX,10,2020,5535,282,5817
YX,11,2020,5511,278,5789
YX,12,2020,5480,274,5754
YX,1,2021,5397,265,5662
YX,2,2021,5329,254,5583
YX,3,2021,5307,243,5550
YX,4,2021,5245,254,5499
YX,5,2021,5326,258,5584
YX,6,2021,5496,249,5745
YX,7,2021,5647,220,5867
YX,8,2021,5716,219,5935
YX,9,2021,5804,214,6018
YX,10,2021,5819,218,6037
YX,11,2021,5928,217,6145
YX,12,2021,5862,214,6076
YX,1,2022,5955,263,6218
